date,day_of_week,hour,customers_per_hour,staff_working,sales_pln,is_weekend,is_holiday,weather,month,seasonal_multiplier,hour_sin,hour_cos,day_of_week_encoded,weather_encoded,optimal_staff_count,day_of_month,is_peak_hour,is_lunch_hour
2024-01-01,Poniedziałek,7,32,8,2812.34,0,1,deszcz,1,1.3,0.9659258262890683,-0.25881904510252063,0,0,8,1,0,0
2024-01-01,Poniedziałek,8,17,4,1626.95,0,1,słonecznie,1,1.3,0.8660254037844387,-0.4999999999999998,0,2,4,1,0,0
2024-01-01,Poniedziałek,9,58,6,5995.64,0,1,słonecznie,1,1.3,0.7071067811865476,-0.7071067811865475,0,2,6,1,0,0
2024-01-01,Poniedziałek,10,41,6,3332.05,0,1,słonecznie,1,1.3,0.49999999999999994,-0.8660254037844387,0,2,6,1,0,0
2024-01-01,Poniedziałek,11,47,8,2704.05,0,1,pochmurnie,1,1.3,0.258819045102521,-0.9659258262890682,0,1,8,1,0,0
2024-01-01,Poniedziałek,12,70,8,4493.42,0,1,słonecznie,1,1.3,1.2246467991473532e-16,-1.0,0,2,8,1,0,1
2024-01-01,Poniedziałek,13,53,4,3503.28,0,1,pochmurnie,1,1.3,-0.2588190451025208,-0.9659258262890683,0,1,4,1,0,1
2024-01-01,Poniedziałek,14,56,6,5626.38,0,1,pochmurnie,1,1.3,-0.4999999999999997,-0.8660254037844388,0,1,6,1,0,1
2024-01-01,Poniedziałek,15,71,8,6542.42,0,1,deszcz,1,1.3,-0.7071067811865471,-0.7071067811865479,0,0,8,1,0,1
2024-01-01,Poniedziałek,16,70,8,7451.59,0,1,słonecznie,1,1.3,-0.8660254037844385,-0.5000000000000004,0,2,8,1,1,0
2024-01-01,Poniedziałek,17,70,6,8534.68,0,1,słonecznie,1,1.3,-0.9659258262890683,-0.25881904510252063,0,2,7,1,1,0
2024-01-01,Poniedziałek,18,57,6,5138.86,0,1,śnieg,1,1.3,-1.0,-1.8369701987210297e-16,0,3,7,1,1,0
2024-01-01,Poniedziałek,19,89,8,6174.25,0,1,pochmurnie,1,1.3,-0.9659258262890684,0.2588190451025203,0,1,8,1,1,0
2024-01-01,Poniedziałek,20,57,6,6307.69,0,1,słonecznie,1,1.3,-0.8660254037844386,0.5000000000000001,0,2,6,1,0,0
2024-01-01,Poniedziałek,21,44,6,4099.94,0,1,słonecznie,1,1.3,-0.7071067811865477,0.7071067811865474,0,2,6,1,0,0
2024-01-01,Poniedziałek,22,32,6,2021.62,0,1,pochmurnie,1,1.3,-0.5000000000000004,0.8660254037844384,0,1,6,1,0,0
2024-01-01,Poniedziałek,23,20,4,2166.54,0,1,pochmurnie,1,1.3,-0.25881904510252157,0.9659258262890681,0,1,4,1,0,0
2024-01-02,Wtorek,7,27,4,2630.33,0,0,śnieg,1,1.3,0.9659258262890683,-0.25881904510252063,1,3,4,2,0,0
2024-01-02,Wtorek,8,38,6,4028.39,0,0,słonecznie,1,1.3,0.8660254037844387,-0.4999999999999998,1,2,6,2,0,0
2024-01-02,Wtorek,9,125,12,13872.43,0,0,deszcz,1,1.3,0.7071067811865476,-0.7071067811865475,1,0,8,2,0,0
2024-01-02,Wtorek,10,62,8,5544.92,0,0,śnieg,1,1.3,0.49999999999999994,-0.8660254037844387,1,3,8,2,0,0
2024-01-02,Wtorek,11,67,10,7691.17,0,0,słonecznie,1,1.3,0.258819045102521,-0.9659258262890682,1,2,8,2,0,0
