date,day_of_week,hour,customers_per_hour,staff_working,sales_pln,is_weekend,is_holiday,weather,month,seasonal_multiplier
2024-01-01,Poniedziałek,7,32,8,2812.34,False,True,deszcz,1,1.3
2024-01-01,Poniedziałek,8,17,4,1626.95,False,True,słonecznie,1,1.3
2024-01-01,Poniedziałek,9,58,6,5995.64,False,True,słonecznie,1,1.3
2024-01-01,Poniedziałek,10,41,6,3332.05,False,True,słonecznie,1,1.3
2024-01-01,Poniedziałek,11,47,8,2704.05,False,True,pochmurnie,1,1.3
2024-01-01,Poniedziałek,12,70,8,4493.42,False,True,słonecznie,1,1.3
2024-01-01,Poniedziałek,13,53,4,3503.28,False,True,pochmurnie,1,1.3
2024-01-01,Poniedziałek,14,56,6,5626.38,False,True,pochmurnie,1,1.3
2024-01-01,Poniedziałek,15,71,8,6542.42,False,True,deszcz,1,1.3
2024-01-01,Poniedziałek,16,70,8,7451.59,False,True,słonecznie,1,1.3
2024-01-01,Poniedziałek,17,70,6,8534.68,False,True,słonecznie,1,1.3
2024-01-01,Poniedziałek,18,57,6,5138.86,False,True,śnieg,1,1.3
2024-01-01,Poniedziałek,19,89,8,6174.25,False,True,pochmurnie,1,1.3
2024-01-01,Poniedziałek,20,57,6,6307.69,False,True,słonecznie,1,1.3
2024-01-01,Poniedziałek,21,44,6,4099.94,False,True,słonecznie,1,1.3
2024-01-01,Poniedziałek,22,32,6,2021.62,False,True,pochmurnie,1,1.3
2024-01-01,Poniedziałek,23,20,4,2166.54,False,True,pochmurnie,1,1.3
2024-01-02,Wtorek,7,27,4,2630.33,False,False,śnieg,1,1.3
2024-01-02,Wtorek,8,38,6,4028.39,False,False,słonecznie,1,1.3
2024-01-02,Wtorek,9,125,12,13872.43,False,False,deszcz,1,1.3
2024-01-02,Wtorek,10,62,8,5544.92,False,False,śnieg,1,1.3
2024-01-02,Wtorek,11,67,10,7691.17,False,False,słonecznie,1,1.3
2024-01-02,Wtorek,12,127,12,9330.47,False,False,deszcz,1,1.3
2024-01-02,Wtorek,13,140,10,14047.33,False,False,pochmurnie,1,1.3
2024-01-02,Wtorek,14,163,15,13592.22,False,False,deszcz,1,1.3
2024-01-02,Wtorek,15,153,15,15466.35,False,False,pochmurnie,1,1.3
2024-01-02,Wtorek,16,88,8,9661.89,False,False,słonecznie,1,1.3
2024-01-02,Wtorek,17,119,10,13538.02,False,False,pochmurnie,1,1.3
2024-01-02,Wtorek,18,150,12,15214.2,False,False,pochmurnie,1,1.3
2024-01-02,Wtorek,19,135,12,14632.22,False,False,słonecznie,1,1.3
2024-01-02,Wtorek,20,54,6,4642.29,False,False,śnieg,1,1.3
2024-01-02,Wtorek,21,68,8,7877.62,False,False,śnieg,1,1.3
2024-01-02,Wtorek,22,57,6,5941.61,False,False,śnieg,1,1.3
2024-01-02,Wtorek,23,48,6,4711.68,False,False,śnieg,1,1.3
2024-01-03,Środa,7,38,6,3385.88,False,False,pochmurnie,1,1.3
2024-01-03,Środa,8,47,4,4218.01,False,False,śnieg,1,1.3
2024-01-03,Środa,9,91,10,8260.75,False,False,pochmurnie,1,1.3
2024-01-03,Środa,10,85,8,7632.62,False,False,pochmurnie,1,1.3
2024-01-03,Środa,11,88,8,9000.02,False,False,pochmurnie,1,1.3
2024-01-03,Środa,12,84,8,10102.79,False,False,śnieg,1,1.3
2024-01-03,Środa,13,86,8,8128.96,False,False,pochmurnie,1,1.3
2024-01-03,Środa,14,125,12,10901.63,False,False,pochmurnie,1,1.3
2024-01-03,Środa,15,120,10,12051.34,False,False,słonecznie,1,1.3
2024-01-03,Środa,16,165,15,15653.08,False,False,pochmurnie,1,1.3
2024-01-03,Środa,17,186,15,20187.47,False,False,pochmurnie,1,1.3
2024-01-03,Środa,18,169,15,20265.18,False,False,deszcz,1,1.3
2024-01-03,Środa,19,171,17,22987.22,False,False,słonecznie,1,1.3
2024-01-03,Środa,20,72,8,8036.42,False,False,słonecznie,1,1.3
2024-01-03,Środa,21,99,10,8507.81,False,False,deszcz,1,1.3
2024-01-03,Środa,22,78,6,6896.78,False,False,pochmurnie,1,1.3
2024-01-03,Środa,23,43,6,4451.56,False,False,deszcz,1,1.3
2024-01-04,Czwartek,7,52,6,4789.36,False,False,słonecznie,1,1.3
2024-01-04,Czwartek,8,30,6,2676.09,False,False,śnieg,1,1.3
2024-01-04,Czwartek,9,107,10,11236.09,False,False,deszcz,1,1.3
2024-01-04,Czwartek,10,95,10,11260.21,False,False,pochmurnie,1,1.3
2024-01-04,Czwartek,11,69,8,6299.31,False,False,śnieg,1,1.3
2024-01-04,Czwartek,12,129,12,14070.39,False,False,pochmurnie,1,1.3
2024-01-04,Czwartek,13,119,10,9447.57,False,False,śnieg,1,1.3
2024-01-04,Czwartek,14,160,15,16197.77,False,False,deszcz,1,1.3
2024-01-04,Czwartek,15,128,12,14112.41,False,False,słonecznie,1,1.3
2024-01-04,Czwartek,16,164,15,13471.23,False,False,słonecznie,1,1.3
2024-01-04,Czwartek,17,201,15,14692.42,False,False,deszcz,1,1.3
2024-01-04,Czwartek,18,156,15,16663.6,False,False,deszcz,1,1.3
2024-01-04,Czwartek,19,171,15,12765.54,False,False,deszcz,1,1.3
2024-01-04,Czwartek,20,113,12,11574.6,False,False,deszcz,1,1.3
2024-01-04,Czwartek,21,67,10,6540.91,False,False,pochmurnie,1,1.3
2024-01-04,Czwartek,22,53,6,4256.72,False,False,śnieg,1,1.3
2024-01-04,Czwartek,23,68,8,6166.74,False,False,deszcz,1,1.3
2024-01-05,Piątek,7,46,4,5573.53,False,False,pochmurnie,1,1.3
2024-01-05,Piątek,8,39,6,3680.76,False,False,deszcz,1,1.3
2024-01-05,Piątek,9,59,6,6117.39,False,False,śnieg,1,1.3
2024-01-05,Piątek,10,71,6,7691.16,False,False,śnieg,1,1.3
2024-01-05,Piątek,11,62,8,4199.43,False,False,śnieg,1,1.3
2024-01-05,Piątek,12,105,10,9005.5,False,False,pochmurnie,1,1.3
2024-01-05,Piątek,13,127,12,12945.84,False,False,pochmurnie,1,1.3
2024-01-05,Piątek,14,102,10,8204.79,False,False,śnieg,1,1.3
2024-01-05,Piątek,15,100,10,7442.65,False,False,śnieg,1,1.3
2024-01-05,Piątek,16,223,15,25464.72,False,False,deszcz,1,1.3
2024-01-05,Piątek,17,96,10,7499.44,False,False,śnieg,1,1.3
2024-01-05,Piątek,18,131,12,13051.5,False,False,śnieg,1,1.3
2024-01-05,Piątek,19,212,15,34842.02,False,False,deszcz,1,1.3
2024-01-05,Piątek,20,119,10,13421.73,False,False,deszcz,1,1.3
2024-01-05,Piątek,21,74,8,8040.95,False,False,pochmurnie,1,1.3
2024-01-05,Piątek,22,80,8,6367.46,False,False,słonecznie,1,1.3
2024-01-05,Piątek,23,70,8,4297.25,False,False,pochmurnie,1,1.3
2024-01-06,Sobota,7,28,4,3078.48,True,True,słonecznie,1,1.3
2024-01-06,Sobota,8,27,3,3527.42,True,True,słonecznie,1,1.3
2024-01-06,Sobota,9,87,8,9651.59,True,True,pochmurnie,1,1.3
2024-01-06,Sobota,10,54,6,6088.05,True,True,słonecznie,1,1.3
2024-01-06,Sobota,11,120,10,17535.22,True,True,deszcz,1,1.3
2024-01-06,Sobota,12,79,8,8857.96,True,True,deszcz,1,1.3
2024-01-06,Sobota,13,78,8,5775.85,True,True,słonecznie,1,1.3
2024-01-06,Sobota,14,100,10,12606.53,True,True,pochmurnie,1,1.3
2024-01-06,Sobota,15,88,8,8956.44,True,True,pochmurnie,1,1.3
2024-01-06,Sobota,16,189,15,22039.33,True,True,deszcz,1,1.3
2024-01-06,Sobota,17,155,15,22038.79,True,True,deszcz,1,1.3
2024-01-06,Sobota,18,87,8,8557.63,True,True,pochmurnie,1,1.3
2024-01-06,Sobota,19,101,10,14818.07,True,True,słonecznie,1,1.3
2024-01-06,Sobota,20,24,4,2094.71,True,True,słonecznie,1,1.3
2024-01-06,Sobota,21,49,6,3999.38,True,True,deszcz,1,1.3
2024-01-06,Sobota,22,54,6,5993.07,True,True,pochmurnie,1,1.3
2024-01-06,Sobota,23,28,4,4381.47,True,True,śnieg,1,1.3
2024-01-07,Niedziela,7,48,6,5951.11,True,False,słonecznie,1,1.3
2024-01-07,Niedziela,8,65,8,7495.5,True,False,pochmurnie,1,1.3
2024-01-07,Niedziela,9,139,12,17833.98,True,False,pochmurnie,1,1.3
2024-01-07,Niedziela,10,122,12,19471.74,True,False,pochmurnie,1,1.3
